S.No.,H2,CH4,C2H6,C2H4,C2H2,Fault Category
1,54.54,71.93,9.72,93.37,6.58,T3
2,5760,540,40.5,1000,2760,D2
3,20,80.2,24.6,68.6,0,T2
4,15.9,55.98,22.33,137.25,0.21,T3
5,40,102.6,32.3,183.3,0.2,D2
6,2.369,119.69,21.891,20.15,0,T1
7,87.17,17.26,3.94,12.87,32.81,D1
8,605,1586,655,1901,2.3,T3
9,462,212.4,31.6,0,0,PD
10,131.7,116.55,19.4,183.97,0.32,T3
11,21,2.01,0.46,1.48,5.61,D1
12,73.8,148,38.9,181,1.76,T3
13,18.19,21.99,6.58,46.92,3.97,T3
14,1.6,1,0.1,0.9,1.6,D1
15,116.17,180.83,52.48,278.18,5.36,T3
16,50.18,171.12,74.7,148.69,0,T2
17,28.97,10.94,1.64,6.96,4.36,T3
18,7238.97,695.16,231.6,2394.3,2308.92,D2
19,47.6,19.1,4.21,27,0.72,T1
20,50.35,65.58,21.05,99.13,0.96,T3
21,120.45,210.91,35.7,285.39,15.86,T3
22,5.48,48.82,96.81,489.57,0.3,T3
23,1.96,2.1,0.5,0.67,1.59,D1
24,25.4,54.97,8.72,77.84,10.47,T3
25,7911.85,947.43,96.93,907.19,4844.48,D1
26,676.74,969.55,570.57,2483.26,17.48,T3
27,101.5,24.45,8.97,128.37,0,T3
28,34.76,5.52,2.09,4.97,10.36,D1
29,20.4,59.8,45.2,80.5,0,T2
30,110.4,112,32.5,80.8,0,T1
31,24,13,5,43,319,Arcing
32,266,584,328,862,1,Overheating
33,160,10,3,1,1,Discharges
34,80,619,326,2480,0,Severe overheating
35,231,3997,1726,5584,0,Severe heating
36,127,24,0,32,81,Arcing
37,9474,4066,353,6552,12997,Arcing
38,507,1053,297,1440,17,Severe local overheating
39,416,695,74,867,0,Heating and Arcing
40,441,207,43,224,261,Arcing
41,65,61,16,143,3,Overheating
42,16,87,75,395,30,Overheating
43,212,38,15,47,78,Arcing
44,800,1393,304,2817,3000,Arcing
45,199,770,217,1508,72,Overheating
46,4906,8784,1404,9924,9671,Arcing
47,425,17424,7299,37043,158,Overheating
48,1076,95,4,71,231,Partial discharges
49,244,754,172,1281,27,Overheating
50,117,167,48,481,7,Overheating
51,858,1324,208,2793,7672,Arcing
52,137,369,144,1242,16,Overheating
53,274,27,5,33,97,Arcing
54,1249,370,56,606,1371,Arcing
55,240,20,5,28,96,Partial discharges
56,33,79,30,215,5,Overheating
57,307,22,2,33,109,Arcing
58,60,144,67,449,9,Overheating
59,2004,9739,2750,5113,0,Overheating
60,127,107,11,154,224,Arcing
61,127,24,0.01,32,81,PD
